PM 01:38:05    9.0830 g 
PM 01:38:05    9.0830 g 
PM 01:38:06    9.0829 g 
PM 01:38:07    9.0829 g 
PM 01:38:07    9.0829 g 
PM 01:38:08    9.0828 g 
PM 01:38:09    9.0828 g 
PM 01:38:09    9.0828 g 
PM 01:38:10    9.0828 g 
PM 01:38:11    9.0828 g 
PM 01:38:11    9.0828 g 
PM 01:38:12    9.0828 g 
PM 01:38:12    9.0828 g 
PM 01:38:13    9.0828 g 
PM 01:38:14    9.0827 g 
PM 01:38:14    9.0826 g 
PM 01:38:15    9.0826 g 
PM 01:38:16    9.0826 g 
PM 01:38:16    9.0826 g 
PM 01:38:17    9.0826 g 
PM 01:38:18    9.0826 g 
PM 01:38:18    9.0826 g 
PM 01:38:19    9.0826 g 
PM 01:38:19    9.0826 g 
PM 01:38:20    9.0825 g 
PM 01:38:21    9.0825 g 
PM 01:38:21    9.0825 g 
PM 01:38:22    9.0825 g 
PM 01:38:23    9.0825 g 
PM 01:38:23    9.0824 g 
PM 01:38:24    9.0820 g 
PM 01:38:25    9.0820 g 
PM 01:38:25    9.0820 g 
PM 01:38:26    9.0820 g 
PM 01:38:27    9.0820 g 
PM 01:38:27    9.0820 g 
PM 01:38:28    9.0820 g 
PM 01:38:28    9.0820 g 
PM 01:38:29    9.0820 g 
PM 01:38:30    9.0820 g 
PM 01:38:30    9.0820 g 
PM 01:38:31    9.0820 g 
PM 01:38:32    9.0820 g 
PM 01:38:32    9.0819 g 
PM 01:38:33    9.0818 g 
PM 01:38:34    9.0818 g 
PM 01:38:34    9.0818 g 
PM 01:38:35    9.0818 g 
PM 01:38:35    9.0818 g 
PM 01:38:36    9.0818 g 
PM 01:38:37    9.0818 g 
PM 01:38:37    9.0818 g 
PM 01:38:38    9.0818 g 
PM 01:38:39    9.0818 g 
PM 01:38:39    9.0818 g 
PM 01:38:40    9.0818 g 
PM 01:38:41    9.0818 g 
PM 01:38:41    9.0818 g 
PM 01:38:42    9.0817 g 
PM 01:38:43    9.0816 g 
PM 01:38:43    9.0816 g 
PM 01:38:44    9.0815 g 
PM 01:38:44    9.0814 g 
PM 01:38:45    9.0814 g 
PM 01:38:46    9.0814 g 
PM 01:38:46    9.0814 g 
PM 01:38:47    9.0814 g 
PM 01:38:48    9.0814 g 
PM 01:38:48    9.0814 g 
PM 01:38:49    9.0814 g 
PM 01:38:50    9.0813 g 
PM 01:38:50    9.0813 g 
PM 01:38:51    9.0813 g 
PM 01:38:51    9.0813 g 
PM 01:38:52    9.0813 g 
PM 01:38:53    9.0809 g 
PM 01:38:53    9.0809 g 
PM 01:38:54    9.0809 g 
PM 01:38:55    9.0809 g 
PM 01:38:55    9.0809 g 
PM 01:38:56    9.0809 g 
PM 01:38:57    9.0809 g 
PM 01:38:57    9.0809 g 
PM 01:38:58    9.0809 g 
PM 01:38:59    9.0809 g 
PM 01:38:59    9.0809 g 
PM 01:39:00    9.0809 g 
PM 01:39:00    9.0809 g 
PM 01:39:01    9.0809 g 
PM 01:39:02    9.0809 g 
PM 01:39:02    9.0809 g 
PM 01:39:03    9.0808 g 
PM 01:39:04    9.0808 g 
PM 01:39:04    9.0808 g 
PM 01:39:05    9.0808 g 
PM 01:39:06    9.0808 g 
PM 01:39:06    9.0807 g 
PM 01:39:07    9.0807 g 
PM 01:39:07    9.0807 g 
PM 01:39:08    9.0807 g 
PM 01:39:09    9.0806 g 
PM 01:39:09    9.0806 g 
PM 01:39:10    9.0806 g 
PM 01:39:11    9.0806 g 
PM 01:39:11    9.0806 g 
PM 01:39:12    9.0806 g 
PM 01:39:13    9.0805 g 
PM 01:39:13    9.0805 g 
PM 01:39:14    9.0805 g 
PM 01:39:15    9.0805 g 
PM 01:39:15    9.0805 g 
PM 01:39:16    9.0803 g 
PM 01:39:16    9.0803 g 
PM 01:39:17    9.0803 g 
PM 01:39:18    9.0803 g 
PM 01:39:18    9.0803 g 
PM 01:39:19    9.0803 g 
PM 01:39:20    9.0802 g 
PM 01:39:20    9.0802 g 
PM 01:39:21    9.0802 g 
PM 01:39:22    9.0802 g 
PM 01:39:22    9.0802 g 
PM 01:39:23    9.0802 g 
PM 01:39:23    9.0802 g 
PM 01:39:24    9.0802 g 
PM 01:39:25    9.0802 g 
PM 01:39:25    9.0802 g 
PM 01:39:26    9.0802 g 
PM 01:39:27    9.0802 g 
PM 01:39:27    9.0802 g 
PM 01:39:28    9.0801 g 
PM 01:39:29    9.0801 g 
PM 01:39:29    9.0801 g 
PM 01:39:30    9.0801 g 
PM 01:39:31    9.0801 g 
PM 01:39:31    9.0797 g 
PM 01:39:32    9.0797 g 
PM 01:39:32    9.0797 g 
PM 01:39:33    9.0797 g 
PM 01:39:34    9.0797 g 
PM 01:39:34    9.0797 g 
PM 01:39:35    9.0797 g 
PM 01:39:36    9.0797 g 
PM 01:39:36    9.0797 g 
PM 01:39:37    9.0796 g 
PM 01:39:38    9.0796 g 
PM 01:39:38    9.0796 g 
PM 01:39:39    9.0796 g 
PM 01:39:39    9.0795 g 
PM 01:39:40    9.0795 g 
PM 01:39:41    9.0794 g 
PM 01:39:41    9.0794 g 
PM 01:39:42    9.0794 g 
PM 01:39:43    9.0794 g 
PM 01:39:43    9.0794 g 
PM 01:39:44    9.0794 g 
PM 01:39:45    9.0794 g 
PM 01:39:45    9.0794 g 
PM 01:39:46    9.0794 g 
PM 01:39:47    9.0793 g 
PM 01:39:47    9.0793 g 
PM 01:39:48    9.0793 g 
PM 01:39:48    9.0792 g 
PM 01:39:49    9.0792 g 
PM 01:39:50    9.0791 g 
PM 01:39:50    9.0791 g 
PM 01:39:51    9.0791 g 
PM 01:39:52    9.0791 g 
PM 01:39:52    9.0791 g 
